Index,ID,Name,URL,Star_count,OpenIssues_count,Fork_count,created_time,Pushed_time,Update_time,Duration(>180)
96,62607227,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,48190,10,6784,2016-07-05T05:00:48Z,2020-12-11T16:26:51Z,2020-12-17T01:15:34Z,YES
98,3955647,lodash,https://github.com/lodash/lodash,47547,182,5407,2012-04-07T04:11:46Z,2020-12-11T20:04:45Z,2020-12-17T01:38:27Z,YES
101,8514,rails,https://github.com/rails/rails,47183,548,18924,2008-04-11T02:19:47Z,2020-12-17T01:51:45Z,2020-12-17T01:20:34Z,YES
102,1181927,bitcoin,https://github.com/bitcoin/bitcoin,46580,982,26809,2010-12-19T15:16:43Z,2020-12-17T01:35:52Z,2020-12-17T01:13:37Z,YES
103,156018,redis,https://github.com/redis/redis,46521,2341,18454,2009-03-21T22:32:25Z,2020-12-16T21:19:28Z,2020-12-17T01:27:02Z,YES
104,184456251,PowerToys,https://github.com/microsoft/PowerToys,46398,1345,2561,2019-05-01T17:44:02Z,2020-12-17T01:03:26Z,2020-12-17T01:52:21Z,YES
105,3638964,ansible,https://github.com/ansible/ansible,46025,1991,19973,2012-03-06T14:58:02Z,2020-12-17T01:42:03Z,2020-12-16T18:13:37Z,YES
107,612230,nvm,https://github.com/nvm-sh/nvm,45686,310,4524,2010-04-15T17:47:47Z,2020-12-13T18:51:56Z,2020-12-17T01:44:50Z,YES
108,23357588,protobuf,https://github.com/protocolbuffers/protobuf,45305,1220,12148,2014-08-26T15:52:15Z,2020-12-17T00:03:23Z,2020-12-16T22:55:01Z,YES
109,1424470,moment,https://github.com/moment/moment,45237,100,6823,2011-03-01T02:46:06Z,2020-12-14T05:54:12Z,2020-12-17T02:00:37Z,YES
110,65600975,pytorch,https://github.com/pytorch/pytorch,44807,7554,11850,2016-08-13T05:26:41Z,2020-12-17T01:57:44Z,2020-12-17T01:50:53Z,YES
113,1362490,requests,https://github.com/psf/requests,44149,298,8041,2011-02-13T18:38:17Z,2020-12-16T19:39:47Z,2020-12-16T20:46:24Z,YES
114,20904437,gin,https://github.com/gin-gonic/gin,44143,357,5064,2014-06-16T23:57:25Z,2020-12-15T14:12:34Z,2020-12-17T01:57:24Z,YES
115,9185792,incubator-echarts,https://github.com/apache/incubator-echarts,44102,1798,16338,2013-04-03T03:18:59Z,2020-12-16T09:43:49Z,2020-12-17T01:01:10Z,YES
117,7508411,RxJava,https://github.com/ReactiveX/RxJava,43892,12,7307,2013-01-08T20:11:48Z,2020-12-15T07:59:03Z,2020-12-17T01:56:35Z,YES
118,843222,scikit-learn,https://github.com/scikit-learn/scikit-learn,43402,2296,20744,2010-08-17T09:43:38Z,2020-12-17T01:25:03Z,2020-12-17T00:58:40Z,YES
121,12256376,ionic-framework,https://github.com/ionic-team/ionic-framework,42645,665,13316,2013-08-20T23:06:02Z,2020-12-16T21:45:33Z,2020-12-17T01:32:19Z,YES
123,19872456,react-router,https://github.com/ReactTraining/react-router,42246,47,8354,2014-05-16T22:22:51Z,2020-12-10T12:33:43Z,2020-12-16T22:12:18Z,YES
124,3214406,meteor,https://github.com/meteor/meteor,42111,131,5155,2012-01-19T01:58:17Z,2020-12-11T12:26:58Z,2020-12-17T00:28:25Z,YES
125,50264296,bulma,https://github.com/jgthms/bulma,42066,336,3627,2016-01-23T23:48:34Z,2020-12-12T18:06:19Z,2020-12-16T20:33:21Z,YES
129,65252,jekyll,https://github.com/jekyll/jekyll,41789,144,9137,2008-10-20T06:29:03Z,2020-12-16T14:40:20Z,2020-12-16T23:42:06Z,YES
132,111583593,scrcpy,https://github.com/Genymobile/scrcpy,41512,563,4239,2017-11-21T18:00:27Z,2020-12-15T20:40:58Z,2020-12-17T01:54:25Z,YES
134,48378947,frp,https://github.com/fatedier/frp,41469,92,7859,2015-12-21T15:24:59Z,2020-12-12T03:58:43Z,2020-12-17T02:00:47Z,YES
135,1148753,spring-framework,https://github.com/spring-projects/spring-framework,40660,1200,28059,2010-12-08T04:04:45Z,2020-12-17T01:29:24Z,2020-12-17T02:00:57Z,YES
137,74293321,svelte,https://github.com/sveltejs/svelte,40367,651,1921,2016-11-20T18:13:05Z,2020-12-16T19:16:59Z,2020-12-17T01:55:27Z,YES
138,16408992,neovim,https://github.com/neovim/neovim,40351,1350,3026,2014-01-31T13:39:22Z,2020-12-16T23:33:27Z,2020-12-17T01:37:01Z,YES
140,63539055,awesome-mac,https://github.com/jaywcjlove/awesome-mac,40187,87,4551,2016-07-17T15:33:47Z,2020-12-08T01:09:52Z,2020-12-17T00:50:21Z,YES
141,20300177,guava,https://github.com/google/guava,39671,728,8887,2014-05-29T16:23:17Z,2020-12-17T01:58:50Z,2020-12-17T01:47:35Z,YES
144,49970642,yarn,https://github.com/yarnpkg/yarn,39342,2503,2624,2016-01-19T17:39:16Z,2020-12-03T09:49:55Z,2020-12-16T17:47:44Z,YES
145,529502,scrapy,https://github.com/scrapy/scrapy,39201,749,8949,2010-02-22T02:01:14Z,2020-12-16T22:39:11Z,2020-12-16T19:46:22Z,YES
147,5152285,okhttp,https://github.com/square/okhttp,38919,91,8343,2012-07-23T13:42:55Z,2020-12-15T17:46:15Z,2020-12-17T01:50:39Z,YES
148,15111821,grafana,https://github.com/grafana/grafana,38799,2403,7899,2013-12-11T15:59:56Z,2020-12-16T19:17:59Z,2020-12-17T01:04:53Z,YES
151,75104123,prettier,https://github.com/prettier/prettier,38386,805,2579,2016-11-29T17:13:37Z,2020-12-17T01:53:51Z,2020-12-17T01:29:04Z,YES
152,172953845,code-server,https://github.com/cdr/code-server,38374,199,2963,2019-02-27T16:50:41Z,2020-12-17T00:05:01Z,2020-12-17T01:54:20Z,YES
153,12888993,core,https://github.com/home-assistant/core,38307,1669,12558,2013-09-17T07:29:48Z,2020-12-17T01:56:42Z,2020-12-17T01:43:08Z,YES
154,34302698,serverless,https://github.com/serverless/serverless,38283,848,4515,2015-04-21T03:48:40Z,2020-12-16T17:41:34Z,2020-12-16T20:09:55Z,YES
155,23974149,materialize,https://github.com/Dogfalo/materialize,38242,798,4904,2014-09-12T19:35:38Z,2020-12-16T10:11:51Z,2020-12-16T16:32:39Z,YES
156,155220641,transformers,https://github.com/huggingface/transformers,38174,549,9386,2018-10-29T13:56:00Z,2020-12-16T19:16:51Z,2020-12-17T01:30:10Z,YES
158,24560307,babel,https://github.com/babel/babel,38013,829,4600,2014-09-28T13:38:23Z,2020-12-16T19:42:43Z,2020-12-17T01:54:12Z,YES
160,22887094,tesseract,https://github.com/tesseract-ocr/tesseract,37752,318,6982,2014-08-12T18:04:59Z,2020-12-13T14:48:23Z,2020-12-17T01:53:20Z,YES
161,83844720,face_recognition,https://github.com/ageitgey/face_recognition,37703,559,10630,2017-03-03T21:52:39Z,2020-12-16T20:34:32Z,2020-12-16T23:14:56Z,YES
162,3100121,nw.js,https://github.com/nwjs/nw.js,37656,772,3910,2012-01-04T06:21:10Z,2020-12-15T14:42:00Z,2020-12-16T19:45:07Z,YES
163,53809090,anime,https://github.com/juliangarnier/anime,37615,136,2985,2016-03-13T21:37:45Z,2020-11-20T15:27:44Z,2020-12-17T01:48:56Z,YES
165,99598595,parcel,https://github.com/parcel-bundler/parcel,37260,572,1861,2017-08-07T16:36:47Z,2020-12-16T23:08:01Z,2020-12-17T01:54:59Z,YES
166,892275,retrofit,https://github.com/square/retrofit,37141,130,6745,2010-09-06T21:39:43Z,2020-12-11T00:28:10Z,2020-12-16T20:51:50Z,YES
167,15428480,AdminLTE,https://github.com/ColorlibHQ/AdminLTE,37105,51,15561,2013-12-25T02:52:40Z,2020-12-16T14:03:15Z,2020-12-17T01:53:17Z,YES
