Account,Availability,GitHub Apps,GitHub Accounts,GitHub Actions,Functionality Notes,CI Task Assistance,Code Review Assistance,Community Management,Dependency and Security Check,Documentation,Issue and PR Management,Open Source,Bot Creation Framework,Website/Info
['squash-labs'],Free,False,True,False,test web apps. Create a virtual machine for each branch of code and automatically makes your app available from a unique URL.,True,False,False,False,False,False,False,,https://github.com/apps/squash-labs
['Stale'],Free,True,True,False,Label and close inactive issues,False,False,False,False,False,True,True,ProBot,https://github.com/probot/stale
['support'],Free,False,True,False,A GitHub App that comments on and closes issues labeled as support requests.,False,False,False,False,False,True,True,ProBot,https://github.com/apps/support
['sync-by-unito'],Free,True,False,False,Automate the generic workflow of CI,True,False,False,False,False,False,False,,https://github.com/apps/sync-by-unito
['TravisBuddy'],Free,False,True,False,"Continuous Intergration Enchancement
generic repo bot for CI
automate build, test, and deploy",True,False,False,False,False,False,True,,https://github.com/bluzi/travis-buddy
['weekly-digest'],Free,True,False,False,Activity Summary,False,False,False,False,True,False,True,ProBot,https://github.com/apps/weekly-digest
['welcome'],Free,False,True,False,Discord welcome,False,False,True,False,False,False,True,ProBot,https://github.com/InfusionBot/Welcome-Bot
['yii-bot'],Free,False,True,False,"Label issue, move issues to another repo",False,False,False,False,False,False,True,,https://github.com/yiisoft-contrib/github-bot
['zulipbot'],Free,False,True,False,"issue triage (self-assigning and labeling issues), monitors the activity of issues and pull requests, notifying contributors about new merge conflicts, continuous integration build results",True,False,False,False,False,True,True,,"https://github.com/zulip/zulipbot
https://githubmemory.com/@zulipbot"
['issue-label-bot'],Free,True,False,False,Label issues,False,False,False,False,False,True,True,,https://github.com/marketplace/issue-label-bot
"['AppVeyor', 'AppVeyorBot']",Free and Commercial,False,True,False,"building, testing and Deployment",True,False,False,False,False,False,True,,https://github.com/marketplace/appveyor
['Azure-pipelines'],Free and Commercial,True,False,False,"build, test and deploy",True,False,False,False,False,False,True,,https://github.com/marketplace/azure-pipelines
['cloudflare-pages'],Free and Commercial,True,False,False,prview web application changes,True,False,False,False,False,False,False,,"https://github.com/apps/cloudflare-pages
https://pages.cloudflare.com/"
"['codecov', 'codecov-io', 'codecov-commenter']",Free and Commercial,True,False,True,Testing coverage,False,True,False,False,False,False,True,,https://about.codecov.io/
['codelingobot'],Free and Commercial,True,False,False,"knowledge management, sharing notes on code snippet",False,False,False,False,True,False,False,,https://github.com/apps/codelingo
['coveralls'],Free and Commercial,False,True,False,Testing coverage,False,True,False,False,False,False,False,,https://coveralls.io/
['deepsource-autofix'],Free and Commercial,True,False,False,Autofix issues and create pull requests,True,False,False,False,False,False,False,,"https://deepsource.io/
https://github.com/apps/deepsource-autofix"
['gitpod-io'],Free and Commercial,False,True,False,Deploy software environment on different settings for CI,True,False,False,False,False,False,False,,https://github.com/marketplace/gitpod-io
['LingoHub'],Free and Commercial,False,True,False,Localization and translation,False,False,False,False,True,False,False,,https://github.com/apps/lingohub
['mergify'],Free and Commercial,False,True,False,Check pull-request if passes all tests,True,False,False,False,False,False,False,,https://github.com/marketplace/mergify
['pullapprove'],Free and Commercial,True,False,False,Code Review Assignment,False,True,False,False,False,False,False,,https://www.pullapprove.com/
['pyup-bot'],Free and Commercial,False,True,False,Dependency Updates,False,False,False,True,False,False,False,,https://pyup.io/
['restyled-io'],Free and Commercial,False,True,False,"Check codestyle in PR, and left comments on the PR",False,True,False,False,False,False,False,,https://github.com/apps/restyled-io
['review-notebook-app'],Free and Commercial,False,True,False,visualize diff for review,False,True,False,False,False,False,False,,https://github.com/apps/review-notebook-app
['snyk-bot'],Free and Commercial,False,True,True,Dependency Updates,False,False,False,True,False,False,False,,https://snyk.io/
['SonarCloud'],Free and Commercial,True,False,False,"Security check and updates; automate build, test and checks",True,False,False,True,False,False,False,,https://sonarcloud.io/
['sonatype-lift'],Free and Commercial,True,False,False,Summarize diffs in PR and perform static analysis,False,True,False,False,False,False,False,,https://github.com/marketplace/muse-dev
['sourcelevel-bot'],Free and Commercial,True,False,False,Auto code review with static analysis,False,True,False,False,False,False,False,,https://github.com/apps/sourcelevel-bot
['Travis-ci'],Free and Commercial,True,False,False,"Automating build, test and deploy",False,True,False,False,False,False,False,,https://www.travis-ci.com/
['vercel'],Free and Commercial,True,False,False,Deploy changes for a push.,True,False,False,False,False,False,True,,https://vercel.com/docs/concepts/git/vercel-for-github
['viezly'],Free and Commercial,True,False,False,visualize changes of PR,False,True,False,False,False,False,False,,"https://viezly.com/
https://github.com/apps/viezly"
['whitesource-for-github-com'],Free and Commercial,True,False,False,update dependencies,False,False,False,True,False,False,False,,https://github.com/apps/whitesource-for-github-com
['msftbot'],Private,True,False,False,"issue label/unlabel, auto merge passed PR, merge timer, small conversation",True,False,True,False,False,True,True,WindowsCommunityToolkit,"https://github.com/apps/msftbot
https://github.com/CommunityToolkit/WindowsCommunityToolkit"
"['bors-libra', 'bors', 'bors-servo']",Free and Private,False,True,True,"Continuous Intergration Enhancement, Issue & PR Management, Auto commit, build test and deploy",True,False,False,False,False,True,False,,https://github.com/bors-libra
['AmplabJenkins'],Private,False,True,False,build test for PR,True,False,False,False,False,False,False,,https://githubmemory.com/@AmplabJenkins
['analysis-bot'],Private,False,True,False,build PR for various deployment environment,True,False,False,False,False,False,False,,https://githubmemory.com/@analysis-bot
['angular-automatic-lock-bot'],Private,True,False,False,automatically lock issues that are inactive,False,False,False,False,False,True,False,,https://github.com/apps/angular-automatic-lock-bot
['apmmachine'],Private,False,True,False,"Issue & PR Management
Continuous Intergration Enchancement
push commits
generic CI bot",True,False,False,False,False,True,False,,https://githubmemory.com/@apmmachine
['apollo-cla'],Private,True,False,False,Contributor License Agreement,False,False,True,False,False,False,False,,https://github.com/apollo-cla
['athenabot'],Private,False,True,False,Discord welcome,False,False,True,False,False,False,False,,https://github.com/athenabot
['backportbot-nextcloud'],Private,True,False,False,Private; backport pr maybe.,False,False,False,False,False,False,False,,https://github.com/apps/backportbot-nextcloud
"['blathers-crl', 'cockroach-teamcity']",Private,True,False,False,"Acknowledge Contributors
Issue & PR Management, generic bots",False,False,True,False,False,True,True,,"https://github.com/apps/blathers-crl
https://github.com/cockroachdb/cockroach"
['bot-gradle'],Private,False,True,False,"generic CI bot
push changes, issue changes, pull-request dependencies update",True,False,False,True,False,True,False,,https://githubmemory.com/@bot-gradle
['capistrano-bot'],Private,False,True,False,PR comments and run test and report,True,True,False,False,False,False,False,,https://githubmemory.com/@capistrano-bot
['cdr-oss'],Private,False,True,False,Generic CI bot,True,False,False,False,False,False,False,,https://github.com/cdr-oss
['coffeescriptbot'],Private,False,True,False,Generic CI bot,True,False,False,False,False,False,False,,https://github.com/coffeescriptbot
['container-tools-bot'],Private,False,True,False,preview documentation changes in PR,False,True,False,False,False,False,False,,https://githubmemory.com/@container-tools-bot
['craterbot'],Private,False,True,False,Build and run test checks on PR,True,False,False,False,False,False,False,,https://githubmemory.com/@craterbot
"['dependabot', 'dependabot-preview']",Private,True,False,False,Dependency Updates,False,False,False,True,False,False,True,,https://github.com/dependabot/dependabot-core
['dnfadmin'],Private,True,False,False,"Contributor License Agreement
and generic repo bot",True,False,True,False,False,False,False,,https://github.com/dnfadmin
['dnfclas'],Private,False,True,False,Contributor lisence Agreement,False,False,True,False,False,False,False,,https://github.com/dnfclas
['docker-desktop-robot'],Private,False,True,False,"Issue & PR Management
format issue/bug report, request more information",False,False,False,False,True,True,False,,https://githubmemory.com/@docker-desktop-robot
['docusaurus-bot'],Private,False,True,False,Documentation,False,False,False,False,True,False,False,,https://github.com/docusaurus-bot
['dotnet-issue-labeler'],Private,True,False,False,label issue,False,False,False,False,False,True,False,,https://github.com/Dotnet-GitSync-Bot
"['dotnet-maestro-bot', 'dotnet-maestro']",Private,True,False,False,"auto push commits, assign reviews, detecting unmerged changes",True,True,False,False,False,False,False,,https://github.com/dotnet-maestro-bot
['DrahtBot'],Private,True,False,False,"Label issues, and running tests",True,False,False,False,False,True,False,,https://github.com/DrahtBot
['eslintbot'],Private,False,True,False,"generic repo bot
push commits, tag branches, release",True,False,False,False,True,False,False,,https://githubmemory.com/@eslintbot
['explosion-bot'],Private,False,True,False,"tag branches, publish releases",True,False,False,False,True,False,False,,https://github.com/explosion-bot
['facebook-github-bot'],Private,False,True,False,"Contributor Lisence Agreement
push commits
diff change of PR",True,True,True,False,False,False,False,,https://github.com/facebook-github-bot
['fastlane-bot'],Private,False,True,False,"request issue template/checklist, auto close inactive issues",False,False,False,False,False,True,False,,https://github.com/fastlane-bot
['fejta-bot'],Private,False,True,False,Issue & PR Management,False,False,False,False,False,True,False,,https://github.com/fejta-bot
['fw-bot'],Private,False,True,False,"Continuous Intergration Enhancement
Contributor Licence Agreement",True,False,True,False,False,False,False,,https://githubmemory.com/index.php/@fw-bot
"['gatsbybot', 'gatsby-cloud', 'gatsby-cloud-staging']",Private,False,True,False,"Update dependencies
Managing mirrors and other branches
Generic CI bot",True,False,False,True,False,False,False,,https://github.com/gatsbybot
['gitter-badger'],Private,False,True,False,"Automatically create pull requests, fork, and manage branches",True,False,False,False,False,False,False,,https://githubmemory.com/@gitter-badger
['golangcibot'],Private,False,True,False,"Automate CI workflow, generic repo bot",True,False,False,False,False,False,False,,https://githubmemory.com/@golangcibot
['golint-fixer'],Private,False,True,False,Create backport PR,False,False,False,True,False,False,False,,https://github.com/golint-fixer
['gollum-bot'],Private,False,True,False,generic repo bot,True,False,False,False,False,False,False,,https://githubmemory.com/@gollum-bot
"['googlebot', 'google-oss-bot', 'google-ml-butler', 'google-cla']",Private,True,True,False,"Contributor License Agreement and label issue and prs
issue assign, collect feedback",False,True,True,False,False,True,True,,"https://developers.google.com/open-source/github/accounts#googlebot
https://github.com/apps/google-cla
"
['graalvmbot'],Private,False,True,False,"Continuous Intergration Enchancement
generic CI bot
Push code, collect contributor lisence agreement
create branches for versions",True,False,True,False,False,False,False,,https://github.com/graalvmbot
['h5bp-bot'],Private,False,True,False,generic repo bot,True,False,False,False,False,False,False,,https://github.com/h5bp-bot
['highfive'],Private,False,True,False,"greeting first contributor, add/remove labels on PR/issues, PR summary, warning unsafe changes, mention core reviewers",False,True,True,True,False,True,False,,https://githubmemory.com/@highfive
['istio-policy-bot'],Private,False,True,False,Label issues based on repo policy,False,False,False,False,False,True,False,,https://githubmemory.com/@istio-policy-bot
['istio-testing'],Private,False,True,False,"Testing coverage
Deployment",True,True,False,False,False,False,False,,https://githubmemory.com/@istio-testing
['jade-bot'],Private,False,True,False,generic repo bot,True,False,False,False,False,False,False,,https://github.com/jade-bot
['jellyfish-bot'],Private,False,True,False,"generic repo bot, create issues based on contributor requests",True,False,False,False,False,True,False,,https://github.com/jellyfish-bot
['jitsi-jenkins'],Private,False,True,False,"push and commit changes; create release note, generic repo bot",True,False,False,False,True,False,False,,https://githubmemory.com/@jitsi-jenkins
['karmarunnerbot'],Private,False,True,False,release notes,False,False,False,False,True,False,False,,https://githubmemory.com/@karmarunnerbot
['kibanamachine'],Private,False,True,False,"Continuous Intergration Enchancement
generic repo bot
issue failing test, backport pull request, CI automation",True,False,False,True,False,True,False,,https://github.com/kibanamachine
['libra-action'],Private,False,True,False,"dependencies check, and variable naming check",False,True,False,True,False,False,False,,https://githubmemory.com/@libra-action
['lightbend-cla-validator'],Private,True,False,False,Contributor License Agreement,False,False,True,False,False,False,False,,https://www.lightbend.com/
['LottieSnapshotBot'],Private,False,True,False,comment the diff of the PR,False,True,False,False,False,False,False,,https://githubmemory.com/@LottieSnapshotBot
['matticbot'],Private,False,True,False,performance anaylsis of PR,False,True,False,False,False,False,False,performance advisor bot,https://github.com/matticbot
['mention-bot'],Private,True,False,False,private app,False,False,True,False,False,False,False,,https://github.com/apps/mention-bot
"['msftbot', 'msftcla', 'microsoft-cla', 'MicrosoftIssueBot']",Private,True,False,False,"Automatically create issue based on requests
Contributor License Agreement
issue label/unlabel, auto merge passed PR, merge timer, small conversation",True,False,True,False,False,True,False,,"https://github.com/microsoft/calculator/issues/1562
https://github.com/CommunityToolkit/WindowsCommunityToolkit
https://github.com/apps/msftbot"
['minikube-pr-bot'],Private,False,True,False,"issue comments, report failed tests",True,True,False,False,False,True,False,,https://githubmemory.com/index.php/@minikube-pr-bot
['minio-trusted'],Private,False,True,False,"run tests and report results for the PR, update dependencies and configurations",True,True,False,True,False,False,False,,https://githubmemory.com/index.php/@minio-trusted
['mm-cloud-bot'],Private,False,True,False,"summarize issues, create test server",True,False,False,False,False,True,False,,https://githubmemory.com/@mm-cloud-bot
['mui-pr-bot'],Private,False,True,False,renovate behind,False,False,False,True,False,False,False,,https://githubmemory.com/index.php/@mui-pr-bot
['mxnet-bot'],Private,False,True,False,Issue & PR Management,False,False,False,False,False,True,False,,https://githubmemory.com/@mxnet-bot
['nanoslider'],Private,False,True,False,"automate CI workflow, generic CI bot",True,False,False,False,False,False,True,,https://github.com/JuliaCI/Nanosoldier.jl
['netdata-community-bot'],Private,False,True,False,mirror issues and link PRs from other channels,False,False,False,False,False,True,False,,https://githubmemory.com/@netdata-community-bot
['nextcloud-pr-bot'],Private,False,True,False,insufficient data,False,False,False,False,False,False,False,,https://githubmemory.com/@nextcloud-pr-bot
